property_id, seating_type, industry_anzsic4_code, location_zip, clue_small_area, trading_name, x_coordinate, location_address, location_city, location_state, number_of_seats, ogc_fid, industry_anzsic4_description, y_coordinate, census_year, street_address, base_property_id, block_id
"103258","Seats - Outdoor","4512",null,"Carlton","Top End Cafe","144.9580246",null,null,null,"10",24174,"Takeaway Food Services","-37.80033364","2010","774-782 Elizabeth Street","103258","239"
"525988","Seats - Indoor","4512",null,"Carlton","Uni Square Cafe","144.9610729",null,null,null,"6",24178,"Takeaway Food Services","-37.80239254","2010","165 Pelham Street","525988","257"
"106229","Seats - Indoor","4511",null,"Carlton","Villa Romana","144.9673242",null,null,null,"200",24188,"Cafes and Restaurants","-37.80137656","2010","246-252 Lygon Street","106229","247"
"109330","Seats - Indoor","4511",null,"Carlton","KFC Carlton","144.9636423",null,null,null,"30",24198,"Cafes and Restaurants","-37.8006201","2010","743-751 Swanston Street","109330","243"
"105958","Seats - Indoor","4511",null,"Melbourne (CBD)","Oriental Tea House","144.9620207",null,null,null,"120",24199,"Cafes and Restaurants","-37.81551671","2010","378-380 Little Collins Street","105958","44"
"102095","Seats - Outdoor","4511",null,"Melbourne (CBD)","Morgans at 401","144.9612229",null,null,null,"30",24203,"Cafes and Restaurants","-37.81739636","2010","401-403 Collins Street","102095","23"
"105746","Seats - Indoor","4511",null,"Melbourne (CBD)","Spiga","144.9630189",null,null,null,"100",24215,"Cafes and Restaurants","-37.81073331","2010","183-265 La Trobe Street","105746","85"
"102115","Seats - Indoor","4512",null,"Melbourne (CBD)","Roast & Brew","144.9568348",null,null,null,"80",24237,"Takeaway Food Services","-37.81767359","2010","522-534 Collins Street","102115","32"
"106100","Seats - Indoor","4511",null,"Carlton","Kokoblack","144.966446",null,null,null,"60",24244,"Cafes and Restaurants","-37.80178513","2010","167 Lygon Street","106100","246"
"110669","Seats - Indoor","4512",null,"Melbourne (CBD)","Sage Cafe Melbourne ","144.9629844",null,null,null,"8",24247,"Takeaway Food Services","-37.81570426","2010","353-359 Little Collins Street","110669","34"
"102155","Seats - Indoor","4511",null,"Melbourne (CBD)","Red Cup","144.9693797",null,null,null,"50",24250,"Cafes and Restaurants","-37.81398457","2010","106-120 Collins Street","102155","37"
"601810","Seats - Indoor","4520",null,"Docklands","Fix Docklands","144.9390269",null,null,null,"100",24270,"Pubs, Taverns and Bars","-37.81517782","2010","439-441 Docklands Drive","593728","1109"
"111469","Seats - Indoor","4400",null,"East Melbourne","Park Hyatt Melbourne","144.9765098",null,null,null,"140",24271,"Accommodation","-37.81131183","2010","33-61 Cathedral Place","111469","651"
"105873","Seats - Indoor","4511",null,"Melbourne (CBD)","+39 Pizzeria & Antipasteria","144.9617496",null,null,null,"66",24280,"Cafes and Restaurants","-37.81327298","2010","362-364 Little Bourke Street","105873","64"
"105742","Seats - Indoor","4511",null,"Melbourne (CBD)","Zam Zam Restaurant ","144.9614561",null,null,null,"55",24282,"Cafes and Restaurants","-37.81220274","2010","364-372 Lonsdale Street","105742","74"
"105746","Seats - Outdoor","4511",null,"Melbourne (CBD)","Chillipadi","144.9630189",null,null,null,"50",24357,"Cafes and Restaurants","-37.81073331","2010","183-265 La Trobe Street","105746","85"
"102073","Seats - Indoor","4511",null,"Melbourne (CBD)","Green Cat Cafe","144.9687553",null,null,null,"160",24371,"Cafes and Restaurants","-37.81543178","2010","141-165 Collins Street","102073","26"
"109412","Seats - Outdoor","4511",null,"Melbourne (CBD)","Sushi Sushi","144.9662156",null,null,null,"30",24379,"Cafes and Restaurants","-37.8141284","2010","148 Swanston Street","109412","46"
"110671","Seats - Outdoor","4511",null,"Melbourne (CBD)","Market Lane Cafe","144.9572395",null,null,null,"26",24393,"Cafes and Restaurants","-37.80745984","2010","133-159 Victoria Street","108118","113"
"107540","Seats - Indoor","4511",null,"Carlton","Michelino's Trattoria","144.9671858",null,null,null,"70",24401,"Cafes and Restaurants","-37.80324285","2010","53-75 Pelham Street","107540","252"
"105303","Seats - Indoor","4511",null,"Melbourne (CBD)","Melbourne Pizza Bar","144.9551743",null,null,null,"36",24436,"Cafes and Restaurants","-37.81589843","2010","181-183 King Street","105303","51"
"111268","Seats - Outdoor","4511",null,"Kensington","The Gatehouse Cafe","144.9194456",null,null,null,"10",24468,"Cafes and Restaurants","-37.79170781","2010","10 Gatehouse Drive","104201","559"
"105855","Seats - Outdoor","4511",null,"Melbourne (CBD)","Eighth Spice","144.9590443",null,null,null,"8",24478,"Cafes and Restaurants","-37.81456798","2010","459-475 Little Bourke Street","105855","53"
"101785","Seats - Indoor","4511",null,"Melbourne (CBD)","Heyday Hong Kong Cafe","144.9663726",null,null,null,"16",24493,"Cafes and Restaurants","-37.81181046","2010","16 Celestial Avenue","101785","66"
"105914","Seats - Outdoor","4511",null,"Melbourne (CBD)","Harry's At Stamford","144.9700291",null,null,null,"8",24526,"Cafes and Restaurants","-37.81354777","2010","109-119 Little Collins Street","105914","37"
"110100","Seats - Indoor","4530",null,"Melbourne (CBD)","The Essoign Club","144.9571446",null,null,null,"200",24554,"Clubs (Hospitality)","-37.81427718","2010","205-221 William Street","110100","62"
"103308","Seats - Indoor","4511",null,"Melbourne (CBD)","Oriental Spoon","144.961747",null,null,null,"112",24555,"Cafes and Restaurants","-37.80994879","2010","368-378 Elizabeth Street","103308","95"
"110843","Seats - Indoor","4511",null,"Docklands","The Coffee Club","144.951187",null,null,null,"70",24559,"Cafes and Restaurants","-37.81501701","2010","163-261 Spencer Street","110843","1101"
"577280","Seats - Indoor","4511",null,"Docklands","The Promenade","144.944965",null,null,null,"42",24577,"Cafes and Restaurants","-37.82470448","2010","72-82 Lorimer Street","577280","773"
"100161","Seats - Indoor","4400",null,"Melbourne (CBD)","Nomads Industry Backpackers ","144.9575633",null,null,null,"8",24581,"Accommodation","-37.80998033","2010","192-194 A'Beckett Street","100161","103"
"108586","Seats - Indoor","4511",null,"Melbourne (CBD)","Beijing Hot Pot Noodle & Dumpling","144.9682074",null,null,null,"50",24585,"Cafes and Restaurants","-37.81231991","2010","166 Russell Street","108586","57"
"110606","Seats - Indoor","4511",null,"Southbank","Kouzina Restaurant ","144.9662623",null,null,null,"80",24590,"Cafes and Restaurants","-37.82066923","2010","3 Southgate Avenue","110380","753"
"105953","Seats - Indoor","4511",null,"Melbourne (CBD)","Cafe Vue","144.9601101",null,null,null,"42",24627,"Cafes and Restaurants","-37.81596878","2010","430-436 Little Collins Street","105953","43"
"110146","Seats - Outdoor","4511",null,"Melbourne (CBD)","Cocoa Bean Cafe","144.9589392",null,null,null,"18",24635,"Cafes and Restaurants","-37.81595642","2010","130-148 William Street","110146","43"
"102063","Seats - Outdoor","4512",null,"Melbourne (CBD)","Think Asia","144.9726281",null,null,null,"12",24658,"Takeaway Food Services","-37.81430616","2010","45 Collins Street","102060","28"
"599505","Seats - Outdoor","4511",null,"Docklands","Nando's","144.947217",null,null,null,"32",24680,"Cafes and Restaurants","-37.81817241","2010","744-770 Bourke Street","573403","1103"
"101023","Seats - Indoor","4520",null,"Melbourne (CBD)","Bennetts Lane Jazz Club","144.967558",null,null,null,"250",24684,"Pubs, Taverns and Bars","-37.80889245","2010","25 Bennetts Lane","101023","87"
"108631","Seats - Indoor","4511",null,"Melbourne (Remainder)","Cafe Promenade","144.9775355",null,null,null,"60",24687,"Cafes and Restaurants","-37.83909862","2010","435-437 St Kilda Road","108631","759"
"109312","Seats - Outdoor","4512",null,"Melbourne (CBD)","Citi Espresso","144.9634198",null,null,null,"15",24725,"Takeaway Food Services","-37.80945732","2010","377-391 Swanston Street","109312","95"
"101159","Seats - Indoor","4511",null,"Melbourne (CBD)","Good Taste Cafe","144.9555529",null,null,null,"36",24729,"Cafes and Restaurants","-37.81677365","2010","607-619 Bourke Street","101159","41"
"102098","Seats - Indoor","4511",null,"Melbourne (CBD)","Rush Cafe","144.9608681",null,null,null,"70",24746,"Cafes and Restaurants","-37.81746814","2010","415-417 Collins Street","102098","23"
"611394","Seats - Indoor","4511",null,"Melbourne (CBD)","Tokyo Maki One","144.9565185",null,null,null,"48",24789,"Cafes and Restaurants","-37.82099397","2010","545-557 Flinders Street","611394","1"
"105683","Seats - Indoor","4511",null,"Melbourne (CBD)","Copper Chimney","144.9678627",null,null,null,"52",24814,"Cafes and Restaurants","-37.81093607","2010","157-159 Lonsdale Street","105683","67"
